Year,Month,Date,Cancer group,Metric,Breakdown,Demographic,Data completeness,Statistic
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,4009
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,4825
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,3667
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,1251
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,9786
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,4356
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,3019
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,2936
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,3220
2018,January,Jan-18,All sites combined,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,5176
2018,January,Jan-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,31
2018,January,Jan-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,84
2018,January,Jan-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,72
2018,January,Jan-18,Bone and soft tissue,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,82
2018,January,Jan-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,164
2018,January,Jan-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,87
2018,January,Jan-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,136
2018,January,Jan-18,Brain and CNS,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,10
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,111
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,153
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,199
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,983
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,1867
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,1045
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,1027
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,263
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,75
2018,January,Jan-18,Breast,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,903
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,562
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,GP referral,Complete,534
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,Other,Complete,354
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,Screening,Complete,212
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Route to Diagnosis,TWW,Complete,1083
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 1,Complete,402
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 2,Complete,609
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 3,Complete,659
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Stage 4,Complete,428
2018,January,Jan-18,Colorectal,New cancer diagnoses (observed),Stage at diagnosis,Unknown,Complete,555
2018,January,Jan-18,Endocrine,New cancer diagnoses (observed),Route to Diagnosis,Emergency presentation,Complete,18
