"","Date","Cancer group","Demographic","Statistic","Statistic2019WdAdj","nDiff","propChange","Breakdown"
"1",Jan 2019,"All sites combined","Emergency presentation",4463,4463,0,0,"Route to Diagnosis"
"2",Jan 2019,"All sites combined","GP referral",5284,5284,0,0,"Route to Diagnosis"
"3",Jan 2019,"All sites combined","Other",3179,3179,0,0,"Route to Diagnosis"
"4",Jan 2019,"All sites combined","Screening",1292,1292,0,0,"Route to Diagnosis"
"5",Jan 2019,"All sites combined","TWW",10376,10376,0,0,"Route to Diagnosis"
"6",Jan 2019,"Bone and soft tissue","Emergency presentation",35,35,0,0,"Route to Diagnosis"
"7",Jan 2019,"Bone and soft tissue","GP referral",75,75,0,0,"Route to Diagnosis"
"8",Jan 2019,"Bone and soft tissue","Other",56,56,0,0,"Route to Diagnosis"
"9",Jan 2019,"Bone and soft tissue","TWW",77,77,0,0,"Route to Diagnosis"
"10",Jan 2019,"Brain and CNS","Emergency presentation",174,174,0,0,"Route to Diagnosis"
"11",Jan 2019,"Brain and CNS","GP referral",83,83,0,0,"Route to Diagnosis"
"12",Jan 2019,"Brain and CNS","Other",149,149,0,0,"Route to Diagnosis"
"13",Jan 2019,"Brain and CNS","TWW",8,8,0,0,"Route to Diagnosis"
"14",Jan 2019,"Breast","Emergency presentation",130,130,0,0,"Route to Diagnosis"
"15",Jan 2019,"Breast","GP referral",202,202,0,0,"Route to Diagnosis"
"16",Jan 2019,"Breast","Other",144,144,0,0,"Route to Diagnosis"
"17",Jan 2019,"Breast","Screening",972,972,0,0,"Route to Diagnosis"
"18",Jan 2019,"Breast","TWW",1999,1999,0,0,"Route to Diagnosis"
"19",Jan 2019,"Colorectal","Emergency presentation",642,642,0,0,"Route to Diagnosis"
"20",Jan 2019,"Colorectal","GP referral",544,544,0,0,"Route to Diagnosis"
"21",Jan 2019,"Colorectal","Other",343,343,0,0,"Route to Diagnosis"
"22",Jan 2019,"Colorectal","Screening",255,255,0,0,"Route to Diagnosis"
"23",Jan 2019,"Colorectal","TWW",1064,1064,0,0,"Route to Diagnosis"
"24",Jan 2019,"Endocrine","Emergency presentation",26,26,0,0,"Route to Diagnosis"
"25",Jan 2019,"Endocrine","GP referral",121,121,0,0,"Route to Diagnosis"
"26",Jan 2019,"Endocrine","Other",47,47,0,0,"Route to Diagnosis"
"27",Jan 2019,"Endocrine","TWW",66,66,0,0,"Route to Diagnosis"
"28",Jan 2019,"Gynaecological","Emergency presentation",225,225,0,0,"Route to Diagnosis"
"29",Jan 2019,"Gynaecological","GP referral",287,287,0,0,"Route to Diagnosis"
"30",Jan 2019,"Gynaecological","Other",162,162,0,0,"Route to Diagnosis"
"31",Jan 2019,"Gynaecological","Screening",65,65,0,0,"Route to Diagnosis"
"32",Jan 2019,"Gynaecological","TWW",677,677,0,0,"Route to Diagnosis"
"33",Jan 2019,"Haematological","Emergency presentation",525,525,0,0,"Route to Diagnosis"
"34",Jan 2019,"Haematological","GP referral",598,598,0,0,"Route to Diagnosis"
"35",Jan 2019,"Haematological","Other",333,333,0,0,"Route to Diagnosis"
"36",Jan 2019,"Haematological","TWW",620,620,0,0,"Route to Diagnosis"
"37",Jan 2019,"Head and Neck","Emergency presentation",55,55,0,0,"Route to Diagnosis"
"38",Jan 2019,"Head and Neck","GP referral",161,161,0,0,"Route to Diagnosis"
"39",Jan 2019,"Head and Neck","Other",156,156,0,0,"Route to Diagnosis"
"40",Jan 2019,"Head and Neck","TWW",423,423,0,0,"Route to Diagnosis"
"41",Jan 2019,"Lung","Emergency presentation",1043,1043,0,0,"Route to Diagnosis"
"42",Jan 2019,"Lung","GP referral",747,747,0,0,"Route to Diagnosis"
"43",Jan 2019,"Lung","Other",626,626,0,0,"Route to Diagnosis"
"44",Jan 2019,"Lung","TWW",835,835,0,0,"Route to Diagnosis"
