"","Date","Cancer group","Metric","Breakdown","Demographic","new","old","ndiff_newOld","propchange_newOld"
"1",Jan 2019,"All sites combined","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",5358,5284,74,0.01
"2",Jan 2019,"All sites combined","New cancer diagnoses (observed)","Route to Diagnosis","Screening",1292,1292,0,0
"3",Jan 2019,"All sites combined","New cancer diagnoses (observed)","Stage at diagnosis","Stage 2",3285,3285,0,0
"4",Jan 2019,"All sites combined","New cancer diagnoses (observed)","Stage at diagnosis","Stage 4",3442,3434,8,0
"5",Jan 2019,"Bladder","New cancer diagnoses (observed)","Route to Diagnosis","GP referral",281,NA,NA,NA
"6",Jan 2019,"Bladder","New cancer diagnoses (observed)","Route to Diagnosis","TWW",337,NA,NA,NA
"7",Jan 2019,"Bladder","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",210,NA,NA,NA
"8",Jan 2019,"Bladder","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",58,NA,NA,NA
"9",Jan 2019,"Bladder","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",402,NA,NA,NA
"10",Jan 2019,"Bone and soft tissue","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",41,35,6,0.17
"11",Jan 2019,"Bone and soft tissue","New cancer diagnoses (observed)","Route to Diagnosis","Other",56,56,0,0
"12",Jan 2019,"Brain and CNS","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",207,174,33,0.19
"13",Jan 2019,"Brain and CNS","New cancer diagnoses (observed)","Route to Diagnosis","Other",152,149,3,0.02
"14",Jan 2019,"Breast","New cancer diagnoses (observed)","Route to Diagnosis","Emergency presentation",141,130,11,0.08
"15",Jan 2019,"Breast","New cancer diagnoses (observed)","Route to Diagnosis","Other",144,144,0,0
"16",Jan 2019,"Breast","New cancer diagnoses (observed)","Route to Diagnosis","TWW",1999,1999,0,0
"17",Jan 2019,"Breast","New cancer diagnoses (observed)","Stage at diagnosis","Stage 1",1109,1108,1,0
"18",Jan 2019,"Breast","New cancer diagnoses (observed)","Stage at diagnosis","Stage 3",253,254,-1,0
"19",Jan 2019,"Breast","New cancer diagnoses (observed)","Stage at diagnosis","Unknown",792,784,8,0.01
