"","Date","Cancer group","Demographic","Statistic","Statistic2019WdAdj","nDiff","propChange","Breakdown"
"1",Jan 2019,"All sites combined","Emergency presentation",4892,4892,0,0,"Route to Diagnosis"
"2",Jan 2019,"All sites combined","GP referral",5358,5358,0,0,"Route to Diagnosis"
"3",Jan 2019,"All sites combined","Other",3238,3238,0,0,"Route to Diagnosis"
"4",Jan 2019,"All sites combined","Screening",1292,1292,0,0,"Route to Diagnosis"
"5",Jan 2019,"All sites combined","TWW",10379,10379,0,0,"Route to Diagnosis"
"6",Jan 2019,"Bladder","Emergency presentation",128,128,0,0,"Route to Diagnosis"
"7",Jan 2019,"Bladder","GP referral",281,281,0,0,"Route to Diagnosis"
"8",Jan 2019,"Bladder","Other",92,92,0,0,"Route to Diagnosis"
"9",Jan 2019,"Bladder","TWW",337,337,0,0,"Route to Diagnosis"
"10",Jan 2019,"Bone and soft tissue","Emergency presentation",41,41,0,0,"Route to Diagnosis"
"11",Jan 2019,"Bone and soft tissue","GP referral",74,74,0,0,"Route to Diagnosis"
"12",Jan 2019,"Bone and soft tissue","Other",56,56,0,0,"Route to Diagnosis"
"13",Jan 2019,"Bone and soft tissue","TWW",78,78,0,0,"Route to Diagnosis"
"14",Jan 2019,"Brain and CNS","Emergency presentation",207,207,0,0,"Route to Diagnosis"
"15",Jan 2019,"Brain and CNS","GP referral",85,85,0,0,"Route to Diagnosis"
"16",Jan 2019,"Brain and CNS","Other",152,152,0,0,"Route to Diagnosis"
"17",Jan 2019,"Brain and CNS","TWW",8,8,0,0,"Route to Diagnosis"
"18",Jan 2019,"Breast","Emergency presentation",141,141,0,0,"Route to Diagnosis"
"19",Jan 2019,"Breast","GP referral",204,204,0,0,"Route to Diagnosis"
"20",Jan 2019,"Breast","Other",144,144,0,0,"Route to Diagnosis"
"21",Jan 2019,"Breast","Screening",972,972,0,0,"Route to Diagnosis"
"22",Jan 2019,"Breast","TWW",1999,1999,0,0,"Route to Diagnosis"
"23",Jan 2019,"Cervical","Emergency presentation",33,33,0,0,"Route to Diagnosis"
"24",Jan 2019,"Cervical","GP referral",38,38,0,0,"Route to Diagnosis"
"25",Jan 2019,"Cervical","Other",18,18,0,0,"Route to Diagnosis"
"26",Jan 2019,"Cervical","Screening",65,65,0,0,"Route to Diagnosis"
"27",Jan 2019,"Cervical","TWW",63,63,0,0,"Route to Diagnosis"
"28",Jan 2019,"Colorectal","Emergency presentation",695,695,0,0,"Route to Diagnosis"
"29",Jan 2019,"Colorectal","GP referral",545,545,0,0,"Route to Diagnosis"
"30",Jan 2019,"Colorectal","Other",349,349,0,0,"Route to Diagnosis"
"31",Jan 2019,"Colorectal","Screening",255,255,0,0,"Route to Diagnosis"
"32",Jan 2019,"Colorectal","TWW",1065,1065,0,0,"Route to Diagnosis"
"33",Jan 2019,"Endocrine","Emergency presentation",29,29,0,0,"Route to Diagnosis"
"34",Jan 2019,"Endocrine","GP referral",121,121,0,0,"Route to Diagnosis"
"35",Jan 2019,"Endocrine","Other",48,48,0,0,"Route to Diagnosis"
"36",Jan 2019,"Endocrine","TWW",66,66,0,0,"Route to Diagnosis"
"37",Jan 2019,"Gynaecological","Emergency presentation",246,246,0,0,"Route to Diagnosis"
"38",Jan 2019,"Gynaecological","GP referral",290,290,0,0,"Route to Diagnosis"
"39",Jan 2019,"Gynaecological","Other",165,165,0,0,"Route to Diagnosis"
"40",Jan 2019,"Gynaecological","Screening",65,65,0,0,"Route to Diagnosis"
"41",Jan 2019,"Gynaecological","TWW",679,679,0,0,"Route to Diagnosis"
"42",Jan 2019,"Haematological","Emergency presentation",586,586,0,0,"Route to Diagnosis"
"43",Jan 2019,"Haematological","GP referral",617,617,0,0,"Route to Diagnosis"
"44",Jan 2019,"Haematological","Other",348,348,0,0,"Route to Diagnosis"
"45",Jan 2019,"Haematological","TWW",622,622,0,0,"Route to Diagnosis"
"46",Jan 2019,"Head and Neck","Emergency presentation",62,62,0,0,"Route to Diagnosis"
"47",Jan 2019,"Head and Neck","GP referral",163,163,0,0,"Route to Diagnosis"
"48",Jan 2019,"Head and Neck","Other",159,159,0,0,"Route to Diagnosis"
